Bin,Density,Frequency,Min,Max,Fit,sub Dist,Density^2,Fit^2,Normed Fit,Normed Fit^2,Variables,NORM =/=1,Assumed Norm =1,Percent Diff,,,,,Remove Outliers,Bin,Density,Frequency,Min,Max,Fit,sum Dist,Variables,NORM =/=1,Assumed Norm =1,Percent Diff same data,Percent Diff Norm=/=1,Percent Diff Norm=1
-25.33435853,0,0,-25.3498962,-25.31882086,0.000694645,4.83E-07,0,4.83E-07,0.000617144,3.81E-07,,,,,,,,,,-15.7010033,0,0,-15.71654097,-15.68546563,0.001784134,3.18E-06,,,,,,
-25.30328319,0,0,-25.31882086,-25.28774552,0.000696332,4.85E-07,0,4.85E-07,0.000618644,3.83E-07,,,,,,,,,,-15.66992796,0,0,-15.68546563,-15.65439029,0.001791069,3.21E-06,,,,,,
-25.27220785,0,0,-25.28774552,-25.25667018,0.000698026,4.87E-07,0,4.87E-07,0.00062015,3.85E-07,,,,,,,,,,-15.63885262,0,0,-15.65439029,-15.62331495,0.001798045,3.23E-06,,,,,,
-25.24113251,0,0,-25.25667018,-25.22559484,0.000699727,4.90E-07,0,4.90E-07,0.000621661,3.86E-07,,,,,,,,,,-15.60777728,0,0,-15.62331495,-15.59223961,0.001805061,3.26E-06,,,,,,
-25.21005717,0,0,-25.22559484,-25.1945195,0.000701433,4.92E-07,0,4.92E-07,0.000623178,3.88E-07,,,,,,,,,,-15.57670194,0,0,-15.59223961,-15.56116427,0.001812118,3.28E-06,,,,,,
-25.17898184,0,0,-25.1945195,-25.16344417,0.000703145,4.94E-07,0,4.94E-07,0.0006247,3.90E-07,,,,,,,,,,-15.5456266,0,0,-15.56116427,-15.53008893,0.001819216,3.31E-06,,,,,,
-25.1479065,0,0,-25.16344417,-25.13236883,0.000704864,4.97E-07,0,4.97E-07,0.000626228,3.92E-07,,,,,,,,,,-15.51455126,0,0,-15.53008893,-15.49901359,0.001826357,3.34E-06,,,,,,
-25.11683116,0,0,-25.13236883,-25.10129349,0.00070659,4.99E-07,0,4.99E-07,0.000627761,3.94E-07,,,,,,,,,,-15.48347592,0,0,-15.49901359,-15.46793826,0.001833539,3.36E-06,,,,,,
-25.08575582,0,0,-25.10129349,-25.07021815,0.000708321,5.02E-07,0,5.02E-07,0.0006293,3.96E-07,,,,,,,,,,-15.45240059,0,0,-15.46793826,-15.43686292,0.001840764,3.39E-06,,,,,,
-25.05468048,0,0,-25.07021815,-25.03914281,0.000710059,5.04E-07,0,5.04E-07,0.000630845,3.98E-07,,,,,,,,,,-15.42132525,0,0,-15.43686292,-15.40578758,0.001848031,3.42E-06,,,,,,
